food_name,weight_per_serving,cal,protein,fat,carbohydrate,แคลเซียม (มิลลิกรัม),แมกนีเซียม (มิลลิกรัม),โพแทสเซียม (มิลลิกรัม),โซเดียม (มิลลิกรัม),ฟอสฟอรัส (มิลลิกรัม),SFA (มิลลิกรัม),MUFA (มิลลิกรัม),PUFA (มิลลิกรัม)
ข้าวราดแกงขี้เหล็ก,306,352,11.9,10.4,52.7,40,46.1,277,1547,138,6730,1240,759
ข้าวราดแกงเขียวหวานไก่,278,313,15.9,7.5,45.5,29,27.3,221,472,170,3231,1595,716
ข้าวราดแกงคั่วกลิ้งหมู,238,378,9.4,11.2,59.8,28,40.8,335,604,199,3434,4105,1457
ข้าวราดแกงคั่วสับปะรด (เจ),321,393,9.8,11.3,63.1,34,78.3,369,1226,213,6247,1199,630
ข้าวราดแกงฉู่ฉี่ปลาทู,252,307,13,8.3,45,51,37.3,281,1082,138,4528,657,718
ข้าวราดแกงไตปลา,295,314,9.7,2.2,63.9,17,21,115,990,109,507,336,492
ข้าวราดแกงเทโพหมูสามชั้น,350,298,6.8,8,49.7,24,40.3,332,1215,78,2715,858,343
ข้าวราดแกงพะแนงหมู,288,393,21,7.6,60,22,37,371,1220,192,3703,1791,842
แกงมัสมั่นไก่,353,487,15.5,18,65.7,19,42,478,1042,195,7249,5066,1618
แกงส้มชะอมทอด,370,397,13.9,12.7,56.6,77,38.8,308,1428,199,6849,6658,2539
แกงส้มผักรวม,371,315,10.8,0.9,65.9,75,54,356,1487,123,291,305,141
แกงเหลือง,325,339,11.8,1.8,68.9,44,26,188,971,130,474,299,338
ไข่เจียวหมูสับ,342,808,27.9,53.2,54.5,50,31,367,684,341,20792,20536,6676
ไข่เจียวสมุนไพร,276,579,14,27.9,68,38,16.8,180,266,189,11690,10966,3291
ต้มกะทิสายบัว,358,381,10.7,9.1,64,44,41,388,1637,117,4791,403,257
ข้าวกล้องราดต้มจับฉ่าย (เจ),355,345,12.5,6,60.3,126,117,474,557,284,1425,1513,1564
ต้มจืดเต้าหู้หมูสับ,473,263,21.2,8.7,25,43,24,364,1282,213,3311,3671,1399
ต้มหมูพะโล้กับไข่,338,535,25.1,18.8,66.3,57,10.1,266,1271,258,5918,8001,3659
ทอดมันปลากราย,334,618,23.1,27.8,68.8,21,28.5,279,974,253,10611,9398,3066
ข้าวราดผัดกระเพราไก่,270,469,24.2,14.8,59.9,31,50.6,379,1880,225,3598,3831,1727
ข้าวราดผัดกระเพราตับ,262,502,17.2,16.5,71.2,26,27.8,291,783,217,2997,2824,1320
ข้าวราดผัดคะน้าหมูกรอบ,331,546,18.2,22.7,67.2,35,34,435,973,203,7954,8480,3608
ข้าวราดผัดฉ่าปลากระเบน,315,422,28,13.2,47.7,38,57,921,1416,176,4437,4292,1714
ข้าวราดผัดฉ่าปลากะพง,247,474,18.1,15.8,64.9,33,44,382,1408,159,7519,5475,1843
ข้าวราดผัดฉ่าปลาดุก,395,515,26.8,23.1,50,113,79,709,1799,335,5985,6561,3586
ข้าวราดผัดเต้าหู้ไข่ทรงเครื่อง,355,372,15.2,10.4,54.5,29,22.8,351,1692,218,1831,1001,2766
ข้าวราดผัดผักรวม,282,332,8.8,5.9,60.9,29,26.3,239,1352,100,2030,1772,762
ข้าวผัดเผ็ดไก่กับหน่อไม้ดอง,268,402,14,12.5,58.2,29,32.5,352,1147,146,4230,4432,1764
ข้าวราดผัดเผ็ดปลาดุกสด,345,474,20.8,14.5,64.9,109,69,598,1903,258,3442,3366,1706
ข้าวราดผัดเผ็ดหอยแมลงภู่,295,424,17.6,10.6,64.4,35,59,94,1229,212,4072,3365,1707
ข้าวราดผัดเผ็ดหอยลาย,217,307,5.7,10.1,48.2,336,36,231,850,107,4227,2517,933
ผัดพริกขิงใส่ถั่วฝักยาว,283,374,7.7,11.7,59.5,26,49.2,301,833,123,2826,2888,1241
ข้าวราดผัดฟักทองกับไข่,362,439,13.2,6.5,81.8,24,48.3,559,1116,202,1744,1734,842
ข้าวราดผัดถั่วงอกกับเต้าหู้,311,385,12.4,9.4,62.7,41,78,171,1513,160,3019,2640,1534
ข้าวราดผัดมะเขือยาวกับหมู,304,440,9.7,13.2,70.7,36,46,369,823,112,2487,2278,837
ข้าวราดผัดมะระกับไข่,328,522,15,25.6,57.9,61,29.7,314,462,217,5900,6009,1945
ข้าวราดหมูทอดกระเทียม,228,441,13.9,11.2,71,16,22,243,608,201,4699,4334,1635
ข้าวราดหมูสับผัดแม็กกี้,247,468,19.5,12.9,68.6,12,20,402,2065,284,5022,4854,1939
ข้าวกล้องราดลาบเห็ด (เจ),279,442,16.4,13.2,64.4,24,87.1,265,654,331,1965,1912,1811
ข้าวราดยำไข่ดาว,366,638,19.9,28.5,75.3,76,30,254,1713,349,10698,12269,262658
ข้าวราดยำมะเขือยาวกับไข่ต้ม,316,289,10.7,5,50.5,30,26.6,234,1026,135,1452,1625,956
ข้าวราดยำหมูยอ,316,456,13.8,18.6,58.2,29,42,268,1589,150,3724,4036,1881
เกาเหลาเนื้อตุ๋น,310,149,13.9,7.4,6.6,13,30.3,172,1197,83,2788,2389,685
เกาเหลาหมู,506,163,15.2,6.9,9.8,33,39.5,256,1878,119,1624,1570,661
แกงเลียง,392,119,5.6,1.4,21,93,67.8,665,11,341,236,103,402
ลาบปลาดุก,109,167,13.4,9.9,6.2,41,19.1,208,539,258,3077,3548,1457
ต้มเลือดหมู,600,216,30.3,7.8,6.2,62,58.1,719,2010,120,2566,2358,1198
ซุปเนื้อวัว,443,214,41.6,4.7,1.3,21,41.8,457,2867,413,1441,1706,268
นำ้พริกปลาทู ผัก,329,106,7,2.3,14.2,70,59,612,1393,,819,529,535
นำ้พริกกะปิ+ปลาทู+ผัก,331,386,32.8,24.5,8.5,258,104,725,1673,,7727,5734,4092
ปลาทู 3 รส,136,203,15.7,9.1,14.5,15,52,415,1142,208,3514,3005,1167
เต้าเจี้ยวหลน ผักสด,307,432,15.1,20.4,47.1,50,121,862,2077,236,16873,1765,925
ก๋วยเตี๋ยวหมูเลียง,507,401,18.8,8.8,61.6,54,54.4,557,1771,205,1639,1768,744
ก๋วยเตี๋ยวหมูนำ้ตก,572,463,26.4,10.2,66.6,93,51,621,2649,280,3449,3305,1249
ก๋วยเตี๋ยวแคะ ,467,521,14.2,27.8,53.6,61,59.2,256,2600,163,9870,11036,4785
ก๋วยเตี๋ยว เส้นเล็กนำ้ ลูกชิ้น เนื้อสด,377,245,18.9,2.3,37.2,15,34.9,331,1899,162,1055,661,240
ก๋วยเตี๋ยวเส้นเล็กหมู ต้มยำ,438,513,23.7,22.3,54.6,79,72.9,401,2507,261,6798,7711,3495
ก๋วยเตี๋ยวเส้นใหญ่ลูกชิ้นหมูตุ๋น,597,356,29.3,11.6,33.5,46,53.2,447,2128,276,3655,3672,1721
เส้นใหญ่น่องไก่ตุ๋นยาจีน,535,423,30.2,14.5,42.9,160,69,533,2217,311,4093,5751,2266
ก๋วยเตี๋ยวเส้นใหญ่ เย็นตาโฟ,518,381,17.5,15.9,42,40,65.8,391,2313,164,5001,5435,1947
ก๋วยเตี๋ยวเส้นใหญ่ ใส่ปลาลวก,493,336,17.7,6.5,51.5,87,38,230,1383,153,2080,2081,889
ก๋วยเตี๋ยวเส้นหมี่หมู ต้มยำ,550,514,27.6,21.2,53.2,63,30.1,622,1434,335,5505,7728,5262
ก๋วยเตี๋ยวเส้นหมี่ลูกชิ้น นำ้ใส,571,244,14.5,7.4,29.8,24,37.5,303,1786,438,2439,2509,989
เส้นหมี่เนื้อรวม นำ้ตก,365,233,19.1,2.5,334,20,31.2,276,1536,150,745,489,186
ก๋วยเตี๋ยวนำ้เส้นเซี่ยงไฮ้,447,344,19.7,19.4,22.6,23,48.2,303,2143,216,5561,6135,2410
เกี้ยวนำ้,523,141,11.2,5.1,12.6,40,45.2,264,2194,103,1911,1876,593
บะหมี่เกี้ยวหมูแดง,485,332,17.5,10.7,41.4,40,60,447,1925,141,3185,3746,1912
วุ้นเส้นเย็นตาโฟ,498,420,11.3,13.6,63.1,74,50,297,2712,118,4438,4805,4880
ก๋วยเตี๋ยวคั่วไก่,250,495,17.4,20.9,59.4,42,30.5,255,961,219,7746,8487,3030
ก๋วยเตี๋ยวเส้นเล็กแห้งหมู,265,717,24.2,31.4,84.3,82,59,356,2028,257,11489,12592,4576
ก๋วยเตี๋ยวเส้นหมี่แห้งหมูตุ๋น,253,272,15.9,8.6,32.7,21,25.8,120,268,99,3598,3372,1332
ก๋วยเตี๋ยวหลอด,388,397,8.8,12.4,52.5,56,167.9,473,1427,263,3159,3909,4834
บะหมี่แห้งหมู,244,463,26.6,20.7,42.8,27,60,324,2377,207,6366,8049,3889
ก๋วยจั๊บนำ้ข้น,553,368,21.6,10.4,46.9,60,70,516,2668,267,3596,3664,1718
กระเพาะปลาเส้นหมี่,412,246,15.5,3.1,39,26,19,129,2406,69,1396,695,342
ขนมจีนนำ้เงี้ยว,480,308,18.9,5.6,45.6,70,56,648,1862,162,1145,1213,645
ขนมจีนแกงเขียวหวาน,370,416,17.7,19.1,43.4,42,66,702,1538,221,11337,2657,1449
ขนมจีนนำ้ยากะทิ,342,346,10.8,19.4,32.1,35,77,647,1578,158,13398,938,436
ข้าวคลุกกะปิ,325,565,20.5,19.5,76.7,147,56.7,519,1999,260,3709,3923,1411
ข้าวผัดหมู,315,581,22.7,25.2,65.8,37,28,212,906,243,8891,9514,3006
ข้าวมันไก่,348,551,24.2,21.1,66.1,16,27,213,1251,95,4260,6233,2067
ข้าวหมกไก่,352,521,21.9,16.5,71.3,21,29,408,1430,262,6886,8800,3705
ข้าวหมูแดง,248,432,19.7,13.1,58.9,17,30,473,1307,357,4143,5273,1932
ข้าวหมูอบ,259,619,10.9,28,80.9,19,24.5,425,1354,188,3835,4350,1623
ผัดไทกุ้งสด,281,486,20.9,19.9,55.7,201,95,471,1060,317,5897,7136,3564
สุกี้ไก่ นำ้,540,253,20.3,5.9,29.6,86,56,436,3542,222,1036,1339,723
สุกี้รวมมิตร นำ้,530,207,20.9,5.7,17.9,81,64.4,482,3026,247,1226,1610,1029
สุกี้รวมมิตร แห้ง,384,399,21.9,17,39.4,159,56,439,1978,232,5430,5931,2624
เส้นใหญ่ผัดซีอิ้ว,320,633,16,26.8,81.9,118,51,594,1592,292,10326,9686,3172
ราดหน้า,450,506,16.5,21.8,60.9,89,61.1,497,1753,190,8887,8674,2946
เส้นใหญ่ราดหน้าหมูสับ,450,433,14,16.9,56.2,28,33.3,308,1694,145,5655,6454,2658
หมี่กรอบราดหน้าทะเล,399,457,14.3,21.8,50.8,115,54.5,332,2051,142,10046,8855,2842
หอยทอด,261,812,20.2,65.6,35.1,91,67,284,1450,462,27506,27034,7680